Total,,Title of reading,Author,Source,University of Washington,University of Minnesota,Portland State,UCLA,Berkeley,Michigan,Oreg,FSU,WISC,McGill,Rutgers,Oklahoma
1,,"Activity, Travel, and the Allocation of Time","Levinson, David and Ajay Kumar",Journal of the American Planning Association,,1,,,,,,,,,,
1,,"Space, Money, Life-cycle, and the Allocation of Time","Levinson, David",Transportation,,1,,,,,,,,,,
1,,"Neighborhood Services, Trip Purpose and Tour-based Travel","Krizek, Kevin J",,,1,,,,,,,,,,
1,,Travel for the fun of it,"Moktarian, P. L. and I. Salomon",Access,,1,,,,,,,,,,
1,,Residential Relocation and Changes in Urban Travel: Does Neighborhood Urban-Scale Matter?,"Krizek, Kevin J",,,1,,,,,,,,,,
1,,’Hardwiring’ Coordination among Land-Use and Transportation Agencies,"Lerner-Lam, Eva",Journal of Urban Planning and Development,,1,,,,,,,,,,
1,,Renegotiating Metropolitan Consciousness: The Twin Cities Faces Its Future,"Martin, Judith",Metropolitan Governance Revisited: American/Canadian Intergovernmental Perspectives,,1,,,,,,,,,,
1,,The Portland region: Where city and suburbs talk to each other—and often agree,"Abbott, Carl",Housing Policy Debate,,1,,,,,,,,,,
1,,Local Land Use and the Chain of Exclusion,"Pendall, Rolf",Journal of the American Planning Association,,1,,,,,,,,,,
1,,Smart Scorecard for Development Projects,"Fleissig, Will and Vickie Jacobsen",,,1,,,,,,,,,,
1,,"Transportation, Land Use, and Public Policy","Giuliano, G",TR News,,1,,,,,,,,,,
1,,New Directions for Understanding Transportation and Land Use,"Giuliano, G",Environment and Planning A,,1,,,,,,,,,,
1,,State Growth Management: Intergovernmental Frameworks and Policy Objectives,"Bollens, Scott A",Journal of the American Planning Association,,1,,,,,,,,,,
1,,"“Shaping the New Suburbia” and “Actors, Preferences, and Political Institutions in Urban Development.” ","Lewis, Paul",Shaping Suburbia: How Political Institutions Organize Urban Development,,1,,,,,,,,,,
1,,The Limits to Growth Management. Environment and Planning ,"Levinson, D.",Planning and Design,,1,,,,,,,,,,
1,,The Effects of Land Use Constraints on Housing Prices,"Pollakowski, Henry O. and Wachter, Susan M.",Land Economics,,1,,,,,,,,,,
1,,Do Growth Controls Work? A New Assessment,"Landis, John",Journal of the American Planning Association,,1,,,,,,,,,,
1,,A Pure Theory of Local Expenditures,"Tiebout, Charles M.",Journal of Political Economy,,1,,,,,,,,,,
1,,"“The Need for Tax Base Sharing,”  “Metropolitan Sharing of Local Property Tax Bases: Maybe Not Such a Good Idea, After All,” and “Further Arguments in Favor of Tax Base Sharing.” ","Orfield, Myron and Fischel, William A.",The Value of Land: 1998 Annual Review,,1,,,,,,,,,,
1,,The Politics of Exactions,"Deakin, Elizabeth",Private Supply of Public Services ed,,1,,,,,,,,,,
1,,The Social Life of the Street,"Whyte, W.",City: Rediscovering the Center,,1,,,,,,,,,,
1,,Pedestrian Planning and Design,"Fruin, J","New York, Metropolitan Association of Urban Designers and Environmental Planners",,1,,,,,,,,,,
1,,Skinny Streets,Portland Planning Office,Portland Planning Office,,1,,,,,,,,,,
1,,Livable Streets,"Appleyard, Donald",Berkeley at the Barricades,,1,,,,,,,,,,
1,,Making Streets That Work,"Sellin, Dennis",Places,,1,,,,,,,,,,
1,,Neighborhood Traffic Management Program,City of Austin,The Urban Transportation Department,,1,,,,,,,,,,
